Fecha,GravedadNombre,ClaseNombre,ChoqueNombre,ObjetoFijoCodigo,ObjetoFijoNombre,OtraClase,NombreOtraClase,Latitud,Longitud,Direccion,TipoVia1,NumeroVia1,LetraVia1,CardinalVia1,TipoVia2,NumeroVia2,LetraVia2,CardinalVia2,Localidad,HoraOcurrencia,TipoDiseño,TipoTiempo,TotalMuertos,TotalHeridos
03-01-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,KR 9-CL 134 02,KR,9, , ,CL,134, , ,USAQUEN,12/31/1899 07:20:00 AM,Tramo de Via,Normal,0,0
01/28/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,AK 30-CL 71A 02,AK,30, , ,CL,71,A, ,BARRIOS UNIDOS,12/31/1899 08:10:00 AM,Tramo de Via,Normal,0,0
01/28/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,AK 9-CL 117A 02,AK,9, , ,CL,117,A, ,USAQUEN,12/31/1899 10:10:00 PM,Tramo de Via,Normal,0,0
02-01-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,KR 50-CL 63 02,KR,50, , ,CL,63, , ,TEUSAQUILLO,12/31/1899 09:00:00 AM,Glorieta,Normal,0,0
02-01-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,KR 111C-CL 67 02,KR,111,C, ,CL,67, , ,ENGATIVA,12/31/1899 05:30:00 PM,Tramo de Via,Normal,0,0
02-05-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,AC 80-KR 68 02,AC,80, , ,KR,68, , ,ENGATIVA,12/31/1899 10:45:00 AM,Lote o predio,Normal,0,0
02-08-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,AK 30-CL 89 02,AK,30, , ,CL,89, , ,BARRIOS UNIDOS,12/31/1899 05:40:00 PM,Tramo de Via,Normal,0,0
02-10-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,AV AVENIDA DE LAS AMERICAS-KR 70B 09,AV,AVENIDA DE LAS AMERICAS, , ,KR,70,B, ,KENNEDY,12/31/1899 07:10:00 AM,Tramo de Via,Normal,0,0
02-11-16 0:00,Con Heridos,Atropello, , , , , ,0,0,KR 128-CL 17 15,KR,128, , ,CL,17, , ,FONTIBON,12/31/1899 12:10:00 PM,Tramo de Via,Normal,0,1
02-12-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,KR 13-CL 58 49,KR,13, , ,CL,58, , ,CHAPINERO,12/31/1899 07:30:00 AM,Tramo de Via,Normal,0,0
